Family	Population	Tree	Location	Region	Latitude	Longitude	SeedWeight	Germination	Survival	Height	Fitness	Elevation	PC1	PC2	Family_Homozygosity	Population_Homozygosity	Genetic_Diversity	Genetic_Load
XDS_04	XDS	4	WV	E	38.98078	79.33386	0.002842	0.14	0.866666667	24.19681775	2.935880555	1213	-0.041549461	-0.05714316	0.910380233	0.008002508	0.090199655	1.00272892
XDS_05	XDS	5	WV	E	39.00473	79.32766	0.003292	0.18	1	33.66616455	6.059909619	1224	-0.035960672	-0.05837403	0.910701465	0.008002508	0.090199655	1.00272892
XDS_06	XDS	6	WV	E	39.04542	79.31111	0.004922	0.54	1	32.11781089	17.34361788	1210	-0.040555752	-0.05620424	0.902328316	0.008002508	0.090199655	1.00272892
XFS_01	XFS	1	MD	E	39.70285	78.93856	0.001776	0.06	1	23.07299737	1.384379842	825	-0.036409375	-0.06509788	0.917981131	0.003153608	0.072354463	1.003059014
XFS_02	XFS	2	MD	E	39.70614	78.93826	0.001412	0.02	0.666666667	22.73873142	0.303183086	827	-0.039512821	-0.05429602	0.919347651	0.003153608	0.072354463	1.003059014
XFS_03	XFS	3	MD	E	39.70361	78.94185	0.003196	0.3	1	32.17024171	9.651072514	820	-0.041806891	-0.06096136	0.908376716	0.003153608	0.072354463	1.003059014
XGL_02	XGL	2	MD	E	39.50541	79.27808	0.001142	0.24	0.916666667	26.42359577	5.81319107	815	-0.030896917	-0.05326712	0.908403258	0.00503119	0.086381873	1.003819903
XGL_03	XGL	3	MD	E	39.56346	79.27938	0.001006	0.26	0.857142857	27.11616605	6.04303129	815	-0.035911387	-0.06257737	0.912154026	0.00503119	0.086381873	1.003819903
XGL_04	XGL	4	MD	E	39.56291	79.28023	0.001902	0.26	0.866666667	30.61217892	6.89794432	815	-0.039777309	-0.06436574	0.907429996	0.00503119	0.086381873	1.003819903
XGL_05	XGL	5	MD	E	39.56215	79.27727	0.001348	0.32	1	32.2505123	10.32016394	809	-0.008382304	-0.06638247	0.896153967	0.00503119	0.086381873	1.003819903
XPK_01	XPK	1	WV	E	38.56175	79.49467	0.002068	0.38	1	25.45753009	9.673861436	1340	-0.042400348	-0.05401235	0.891321919	0.007229601	0.088512276	0.993582366
XPK_02	XPK	2	WV	E	38.56417	79.49506	0.002372	0.06	0.461538462	28.20445684	0.781046498	1364	-0.043748026	-0.04569542	0.911486422	0.007229601	0.088512276	0.993582366
XPK_03	XPK	3	WV	E	38.57069	79.49226	0.002612	0.1	0.933333333	32.36582691	3.02081051	1309	-0.04363809	-0.04558226	0.884550151	0.007229601	0.088512276	0.993582366
XPK_04	XPK	4	WV	E	38.56457	79.49476	0.002032	0.22	1	27.46753009	6.04285662	1360	-0.041259904	-0.05219636	0.927869878	0.007229601	0.088512276	0.993582366
XSK_01	XSK	1	WV	E	38.93676	79.68698	0.002712	0.16	0.933333333	22.82417933	3.408410779	1127	-0.043881771	-0.05899457	0.900957025	0.003193712	0.074640845	1.003773432
XSK_02	XSK	2	WV	E	38.93525	79.68056	0.00339	0.22	0.466666667	29.89227435	3.068940168	1101	-0.041840013	-0.06052088	0.925549979	0.003193712	0.074640845	1.003773432
XSK_05	XSK	5	WV	E	38.94198	79.66622	0.00285	0.12	0.9	26.495593	2.861524044	919	-0.037755601	-0.0576506	0.910393906	0.003193712	0.074640845	1.003773432
XWS_03	XWS	3	MD	E	39.66348	79.09103	0.000994	0	0.615384615	23.24863415	0	787	-0.038935523	-0.05218252	0.887245299	0.003966619	0.075655366	1.00171309
XWS_05	XWS	5	MD	E	39.65982	79.09377	0.001726	0.14	1	31.60462372	4.424647321	788	-0.04267315	-0.05954713	0.923698191	0.003966619	0.075655366	1.00171309
XWS_06	XWS	6	MD	E	39.65987	79.09471	0.000922	0.06	1	35.68773798	2.141264279	788	-0.024045797	-0.05738423	0.928540076	0.003966619	0.075655366	1.00171309
